"filename", "language", "JavaScript", "Markdown", "JSON", "YAML", "comment", "blank", "total"
"e:\DiscordBot\.github\workflows\codeql-analysis.yml", "YAML", 0, 0, 0, 31, 29, 11, 71
"e:\DiscordBot\.github\workflows\node.js.yml", "YAML", 0, 0, 0, 19, 6, 7, 32
"e:\DiscordBot\README.md", "Markdown", 0, 54, 0, 0, 0, 34, 88
"e:\DiscordBot\SECURITY.md", "Markdown", 0, 15, 0, 0, 0, 7, 22
"e:\DiscordBot\Stats\checkUserGame.js", "JavaScript", 42, 0, 0, 0, 12, 8, 62
"e:\DiscordBot\Stats\commandStats.js", "JavaScript", 105, 0, 0, 0, 6, 10, 121
"e:\DiscordBot\Stats\currentTime.js", "JavaScript", 108, 0, 0, 0, 1, 3, 112
"e:\DiscordBot\Stats\mcOnline.js", "JavaScript", 42, 0, 0, 0, 1, 5, 48
"e:\DiscordBot\Stats\memberCounter.js", "JavaScript", 8, 0, 0, 0, 0, 0, 8
"e:\DiscordBot\Stats\message-counter.js", "JavaScript", 43, 0, 0, 0, 1, 2, 46
"e:\DiscordBot\Stats\voicechannelLog.js", "JavaScript", 34, 0, 0, 0, 3, 5, 42
"e:\DiscordBot\cmds\admin\addSwearWord.js", "JavaScript", 50, 0, 0, 0, 4, 2, 56
"e:\DiscordBot\cmds\admin\anti-ad.js", "JavaScript", 87, 0, 0, 0, 8, 9, 104
"e:\DiscordBot\cmds\admin\anti-join.js", "JavaScript", 18, 0, 0, 0, 0, 2, 20
"e:\DiscordBot\cmds\admin\anti-spam.js", "JavaScript", 61, 0, 0, 0, 5, 7, 73
"e:\DiscordBot\cmds\admin\ban.js", "JavaScript", 88, 0, 0, 0, 1, 5, 94
"e:\DiscordBot\cmds\admin\clear.js", "JavaScript", 50, 0, 0, 0, 2, 6, 58
"e:\DiscordBot\cmds\admin\clearchannel.js", "JavaScript", 32, 0, 0, 0, 0, 1, 33
"e:\DiscordBot\cmds\admin\cmdused.js", "JavaScript", 42, 0, 0, 0, 0, 1, 43
"e:\DiscordBot\cmds\admin\createChannel.js", "JavaScript", 29, 0, 0, 0, 0, 2, 31
"e:\DiscordBot\cmds\admin\delete-channel.js", "JavaScript", 31, 0, 0, 0, 0, 2, 33
"e:\DiscordBot\cmds\admin\downloadMsgLog.js", "JavaScript", 85, 0, 0, 0, 21, 13, 119
"e:\DiscordBot\cmds\admin\guildId.js", "JavaScript", 36, 0, 0, 0, 0, 3, 39
"e:\DiscordBot\cmds\admin\isMuted.js", "JavaScript", 59, 0, 0, 0, 0, 7, 66
"e:\DiscordBot\cmds\admin\kick.js", "JavaScript", 59, 0, 0, 0, 2, 14, 75
"e:\DiscordBot\cmds\admin\list-warn.js", "JavaScript", 73, 0, 0, 0, 1, 12, 86
"e:\DiscordBot\cmds\admin\messageLog.js", "JavaScript", 26, 0, 0, 0, 14, 2, 42
"e:\DiscordBot\cmds\admin\mute.js", "JavaScript", 191, 0, 0, 0, 75, 19, 285
"e:\DiscordBot\cmds\admin\mutecheck.js", "JavaScript", 46, 0, 0, 0, 1, 16, 63
"e:\DiscordBot\cmds\admin\nick.js", "JavaScript", 53, 0, 0, 0, 1, 5, 59
"e:\DiscordBot\cmds\admin\promote.js", "JavaScript", 115, 0, 0, 0, 0, 27, 142
"e:\DiscordBot\cmds\admin\reboot.js", "JavaScript", 31, 0, 0, 0, 0, 2, 33
"e:\DiscordBot\cmds\admin\swearwords.js", "JavaScript", 37, 0, 0, 0, 0, 2, 39
"e:\DiscordBot\cmds\admin\unban.js", "JavaScript", 62, 0, 0, 0, 4, 5, 71
"e:\DiscordBot\cmds\admin\unmute.js", "JavaScript", 71, 0, 0, 0, 2, 11, 84
"e:\DiscordBot\cmds\admin\userId.js", "JavaScript", 27, 0, 0, 0, 0, 2, 29
"e:\DiscordBot\cmds\admin\warn.js", "JavaScript", 98, 0, 0, 0, 0, 7, 105
