Date : 2022-02-21 09:37:11
Directory : e:\DiscordBot
Total : 206 files,  49758 codes, 1749 comments, 1517 blanks, all 53024 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          8 |     37,197 |          0 |          2 |     37,199 |
| JavaScript |        194 |     12,442 |      1,714 |      1,456 |     15,612 |
| Markdown   |          2 |         69 |          0 |         41 |        110 |
| YAML       |          2 |         50 |         35 |         18 |        103 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                   |        206 |     49,758 |      1,749 |      1,517 |     53,024 |
| .github                                             |          2 |         50 |         35 |         18 |        103 |
| .github\workflows                                   |          2 |         50 |         35 |         18 |        103 |
| Stats                                               |          7 |        382 |         24 |         33 |        439 |
| cmds                                                |        161 |     12,184 |      1,573 |      1,215 |     14,972 |
| cmds\admin                                          |         26 |      1,557 |        141 |        184 |      1,882 |
| cmds\economy                                        |         13 |      1,040 |        146 |         98 |      1,284 |
| cmds\features                                       |         28 |      2,645 |        143 |        195 |      2,983 |
| cmds\games                                          |          7 |        981 |        135 |        138 |      1,254 |
| cmds\icon                                           |          3 |        238 |          6 |         26 |        270 |
| cmds\inventory                                      |          8 |        531 |        191 |         77 |        799 |
| cmds\joinleave                                      |          7 |        186 |        197 |         27 |        410 |
| cmds\language                                       |          3 |      1,093 |         34 |         22 |      1,149 |
| cmds\level                                          |          4 |        190 |         93 |         23 |        306 |
| cmds\misc                                           |         24 |      1,342 |        117 |        103 |      1,562 |
| cmds\music                                          |          4 |        672 |        113 |        105 |        890 |
| cmds\prefix                                         |          1 |         28 |          0 |          2 |         30 |
| cmds\reaction                                       |         14 |        784 |         18 |        115 |        917 |
| cmds\stats                                          |         11 |        621 |         24 |         66 |        711 |
| cmds\test                                           |          8 |        276 |        215 |         34 |        525 |
| events                                              |          2 |         68 |          1 |          6 |         75 |
| filters                                             |          3 |        105 |          4 |         14 |        123 |
| schemas                                             |         22 |        416 |          3 |         61 |        480 |
+-----------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                            | language   | code       | comment    | blank      | total      |
